[woss_All] -2017-09-26 23:25:39,189 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-26 23:25:42,824 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:54) -------开始采集数据
[woss_All] -2017-09-26 23:25:42,828 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:62) -------读取备份数据
[woss_All] -2017-09-26 23:25:42,828 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:25:42,828 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:25:43,094 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:104) -------对不是同一天上下线的用户进行处理
[woss_All] -2017-09-26 23:25:43,098 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:135) -------开始备份数据.....
[woss_All] -2017-09-26 23:25:43,137 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:138) -------此次采集完整数据为:43412
[woss_All] -2017-09-26 23:25:43,137 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:139) -------此次采集不完整数据为:502
[woss_All] -2017-09-26 23:25:43,138 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:47) -------进行传输时加载备份数据.....
[woss_All] -2017-09-26 23:25:43,138 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:25:43,138 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:54) -------开始发送数据.....
[woss_All] -2017-09-26 23:25:43,140 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-26 23:25:45,922 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:50) -------开始入库....
[woss_All] -2017-09-26 23:25:46,133 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:55) -------加载备份数据
[woss_All] -2017-09-26 23:25:46,134 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:29:30,807 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:54) -------开始采集数据
[woss_All] -2017-09-26 23:29:30,810 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:62) -------读取备份数据
[woss_All] -2017-09-26 23:29:30,866 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:66) -------这一次采集的数据要跳过的字符:4100934
[woss_All] -2017-09-26 23:29:30,921 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:71) -------上一次采集遗留的不完整数据大小为：502
[woss_All] -2017-09-26 23:29:30,922 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:104) -------对不是同一天上下线的用户进行处理
[woss_All] -2017-09-26 23:29:30,926 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:135) -------开始备份数据.....
[woss_All] -2017-09-26 23:29:30,950 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:138) -------此次采集完整数据为:0
[woss_All] -2017-09-26 23:29:30,950 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:139) -------此次采集不完整数据为:502
[woss_All] -2017-09-26 23:29:30,951 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:47) -------进行传输时加载备份数据.....
[woss_All] -2017-09-26 23:29:30,951 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:29:30,951 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:54) -------开始发送数据.....
[woss_All] -2017-09-26 23:29:30,952 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-26 23:29:30,953 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:50) -------开始入库....
[woss_All] -2017-09-26 23:29:30,965 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:55) -------加载备份数据
[woss_All] -2017-09-26 23:29:30,966 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:29:48,582 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-26 23:29:53,946 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:54) -------开始采集数据
[woss_All] -2017-09-26 23:29:53,950 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:62) -------读取备份数据
[woss_All] -2017-09-26 23:29:54,010 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:66) -------这一次采集的数据要跳过的字符:4100934
[woss_All] -2017-09-26 23:29:54,071 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:71) -------上一次采集遗留的不完整数据大小为：502
[woss_All] -2017-09-26 23:29:54,071 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:104) -------对不是同一天上下线的用户进行处理
[woss_All] -2017-09-26 23:29:54,075 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:135) -------开始备份数据.....
[woss_All] -2017-09-26 23:29:54,100 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:138) -------此次采集完整数据为:0
[woss_All] -2017-09-26 23:29:54,100 [INFO]  com.briup.client.impl.GatherImpl.gather(GatherImpl.java:139) -------此次采集不完整数据为:502
[woss_All] -2017-09-26 23:29:54,100 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:47) -------进行传输时加载备份数据.....
[woss_All] -2017-09-26 23:29:54,100 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
[woss_All] -2017-09-26 23:29:54,100 [INFO]  com.briup.client.impl.ClientImpl.send(ClientImpl.java:54) -------开始发送数据.....
[woss_All] -2017-09-26 23:29:54,102 [INFO]  com.briup.server.impl.ServerImpl.recive(ServerImpl.java:29) -------开始接受数据...
[woss_All] -2017-09-26 23:29:54,153 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:50) -------开始入库....
[woss_All] -2017-09-26 23:29:54,381 [INFO]  com.briup.server.impl.DBStoreImpl.save(DBStoreImpl.java:55) -------加载备份数据
[woss_All] -2017-09-26 23:29:54,381 [INFO]  com.briup.backup.impl.Backups.load(Backups.java:72) -------load方法中根据key值不存在备份文件
